minilm_sim,lstm_prob,tfidf_sim,jaccard_sim,token_overlap,levenshtein_dist,label,group,source,split
0.8567995,0.9504595994949341,0.1941485325257643,0.10526315789473684,2,60,1,29,ml_paraphrase,train
0.58008134,0.7686862349510193,0.03534853837969447,0.07692307692307693,1,62,1,30,nli_triplet,train
0.23167649,0.19647730886936188,0.17035643719796145,0.1111111111111111,1,31,0,31,nli_triplet,train
0.35907686,0.529465913772583,0.0,0.0,0,73,0,32,nli_triplet,train
0.52554274,0.08504114300012589,0.2917644019596627,0.18181818181818182,2,29,0,33,nli_triplet,train
0.6140801,0.4999169111251831,0.13521143202353947,0.09090909090909091,1,43,1,34,nli_triplet,train
0.19176559,0.04737084358930588,0.0,0.0,0,25,0,35,nli_triplet,train
0.76587886,0.041545771062374115,0.18710391154316855,0.16666666666666666,2,34,0,36,nli_triplet,train
0.15400739,0.0840686559677124,0.011688186578611018,0.058823529411764705,1,59,0,37,nli_triplet,train
0.7752462,0.7257786393165588,0.24181496365921726,0.10714285714285714,3,160,1,39,nli_triplet,train
0.73647034,0.6335445642471313,0.0941551028261036,0.15789473684210525,3,84,1,41,nli_triplet,train
0.5538921,0.1509706676006317,0.3313116506365278,0.14285714285714285,1,23,0,42,nli_triplet,train
0.89203906,0.9968228340148926,0.5587324097315352,0.4,6,40,1,43,ml_paraphrase,train
0.86031747,0.8671635389328003,0.6609950903510073,0.47058823529411764,8,42,1,44,nli_triplet,train
0.72534376,0.3274504542350769,0.10821709250836334,0.18181818181818182,2,62,1,45,nli_triplet,train
0.46534115,0.44019487500190735,0.008827421082653691,0.09090909090909091,1,48,1,46,nli_triplet,train
0.8791065,0.6946259140968323,0.5200560010602003,0.4166666666666667,5,28,1,47,nli_triplet,train
0.46878165,0.11630426347255707,0.6461093201647784,0.42857142857142855,3,11,0,48,nli_triplet,train
0.40763563,0.25967177748680115,0.008953556894476506,0.06666666666666667,1,61,0,50,nli_triplet,train
0.53360337,0.8222099542617798,0.24074876342594714,0.0625,1,73,1,51,nli_triplet,train
0.7753931,0.6372323036193848,0.14665245868153082,0.08333333333333333,1,51,1,52,nli_triplet,train
0.2874169,0.024063730612397194,0.039713892689944096,0.1,1,40,0,53,nli_triplet,train
0.5816015,0.2957287132740021,0.3571467953850074,0.3,3,40,0,54,nli_triplet,train
0.5285783,0.06096893921494484,0.024620475012223732,0.05555555555555555,1,62,0,55,nli_triplet,train
0.59325314,0.35501864552497864,0.0,0.0,0,47,0,56,nli_triplet,train
0.37817156,0.41953879594802856,0.04991392897223269,0.09090909090909091,1,43,0,57,nli_triplet,train
-0.020855125,0.09574048966169357,0.03088428137213453,0.043478260869565216,1,84,0,58,ml_paraphrase,train
0.25424817,0.5209794044494629,0.04835971059736068,0.0,0,39,0,59,nli_triplet,train
0.40792224,0.779491662979126,0.10120544486197228,0.06666666666666667,2,112,0,60,ml_paraphrase,train
0.18479288,0.2967385947704315,0.0,0.0,0,102,0,62,nli_triplet,train
0.9171189,0.9790599346160889,0.8632323707957668,0.4,8,55,1,63,ml_paraphrase,train
0.7346953,0.9682640433311462,0.6725175799342349,0.5,4,22,1,64,nli_triplet,train
0.9806792,0.9445810317993164,0.5943518448648241,0.5625,9,70,1,65,ml_paraphrase,train
0.9481611,0.9106655716896057,0.5488889873548722,0.45,9,43,1,66,ml_paraphrase,train
0.26885724,0.840255856513977,0.24630016272552635,0.06666666666666667,1,83,0,67,nli_triplet,train
0.95736635,0.9990737438201904,0.14588538345585872,0.16666666666666666,3,39,1,68,ml_paraphrase,train
0.32288522,0.8918793797492981,0.10386741061223903,0.16666666666666666,2,45,0,69,nli_triplet,train
0.40095776,0.14441360533237457,0.18399579936685412,0.13333333333333333,2,68,0,72,nli_triplet,train
0.8508737,0.9175335168838501,0.0,0.06666666666666667,1,37,1,73,nli_triplet,train
0.48020893,0.36501994729042053,0.055795686970334865,0.0,0,107,1,74,nli_triplet,train
0.8250926,0.9969297051429749,0.29939926965629965,0.26666666666666666,4,37,1,76,ml_paraphrase,train
0.44059,0.3725558817386627,0.09841625961996323,0.125,2,53,0,77,nli_triplet,train
0.37214833,0.2605002820491791,0.13602036193452596,0.06666666666666667,1,74,0,78,nli_triplet,train
0.91048276,0.9915659427642822,0.49348599348970845,0.2631578947368421,5,74,1,79,ml_paraphrase,train
0.1892038,0.982164740562439,0.0,0.0,0,45,1,80,nli_triplet,train
0.9503516,0.9792563915252686,0.5996055237450946,0.25,7,106,1,81,ml_paraphrase,train
0.6324791,0.4517155885696411,0.014752210768460077,0.1,1,40,1,82,nli_triplet,train
-0.08930218,0.5448185801506042,0.0,0.0,0,82,0,83,nli_triplet,train
0.4138646,0.0932207852602005,0.20042061970017502,0.2857142857142857,2,21,0,84,nli_triplet,train
0.09771675,0.027500323951244354,0.0,0.0,0,28,0,85,nli_triplet,train
-0.06673132,0.4145106077194214,0.0,0.0,0,94,0,86,nli_triplet,train
0.88136995,0.7345776557922363,0.8117033185024092,0.2,2,19,1,87,nli_triplet,train
0.7698356,0.6924425959587097,0.2857806501330156,0.125,2,84,1,88,nli_triplet,train
0.561896,0.460813969373703,0.2522407932390942,0.21052631578947367,4,74,1,89,nli_triplet,train
0.92102075,0.6878278255462646,0.5779651538716946,0.4782608695652174,11,50,0,90,nli_triplet,train
0.7652239,0.8619367480278015,0.07175124721221376,0.08333333333333333,1,66,1,91,nli_triplet,train
0.7286364,0.10868639498949051,0.0,0.0,0,29,0,92,nli_triplet,train
0.53399754,0.9980999827384949,0.2742310863183728,0.2857142857142857,2,24,1,93,nli_triplet,train
0.3947175,0.29695868492126465,0.1056695575637076,0.17647058823529413,3,42,0,94,nli_triplet,train
0.4648962,0.06944786757230759,0.0,0.0,0,98,0,95,nli_triplet,train
0.62026596,0.5017989873886108,0.020409787333482837,0.1111111111111111,1,42,1,97,nli_triplet,train
0.3231146,0.39076799154281616,0.0,0.0,0,48,0,99,nli_triplet,train
0.3615014,0.2517785131931305,0.009259647996419025,0.03225806451612903,1,89,0,100,ml_paraphrase,train
0.66007435,0.5872359275817871,0.3808490885714668,0.1,1,31,0,101,nli_triplet,train
0.9090822,0.6772695183753967,0.30709842042483326,0.3,3,38,1,102,nli_triplet,train
0.46266344,0.569458544254303,0.09782635046788521,0.05263157894736842,1,104,0,104,nli_triplet,train
0.34496644,0.11629772931337357,0.24890676440471332,0.0625,1,74,0,105,nli_triplet,train
0.52037334,0.9930643439292908,0.0,0.0,0,47,1,106,nli_triplet,train
0.45482445,0.08196103572845459,0.025370458808058355,0.08695652173913043,2,91,0,107,nli_triplet,train
0.3590312,0.1475295126438141,0.5171678458917605,0.25,3,65,1,111,nli_triplet,train
0.21566635,0.6202344298362732,0.02685834221778497,0.08333333333333333,1,60,1,112,nli_triplet,train
0.7075281,0.9587275385856628,0.24804680431623055,0.15384615384615385,2,68,1,113,nli_triplet,train
0.5106094,0.08850139379501343,0.0,0.0,0,48,0,114,nli_triplet,train
0.8257488,0.9652391672134399,0.6584951893322268,0.4444444444444444,4,37,1,115,nli_triplet,train
0.6380969,0.18477694690227509,0.14633564350052738,0.125,1,30,0,117,nli_triplet,train
0.41413915,0.011550900526344776,0.0,0.0,0,99,0,118,nli_triplet,train
0.78550005,0.6494556069374084,0.4493436515693169,0.1875,3,57,1,119,nli_triplet,train
0.9716755,0.978532612323761,0.5391510252365681,0.3333333333333333,5,76,1,120,ml_paraphrase,train
0.8014674,0.9070473313331604,0.6970194945003108,0.5,4,28,0,121,nli_triplet,train
0.8819846,0.938266396522522,0.8892907151798747,0.5833333333333334,7,18,1,122,nli_triplet,train
0.46426094,0.09740519523620605,0.026127500730357637,0.038461538461538464,1,131,0,123,nli_triplet,train
1.0000001,0.9803866744041443,1.0,1.0,5,0,1,124,nli_triplet,train
0.4529437,0.9667569398880005,0.05625670435155262,0.07142857142857142,1,85,1,125,nli_triplet,train
0.6902206,0.9313615560531616,0.8793354832162581,0.8,8,4,0,126,nli_triplet,train
0.46928772,0.9723255038261414,0.0,0.0,0,53,1,127,nli_triplet,train
0.8382671,0.23321117460727692,0.29006639199013573,0.16666666666666666,2,43,1,129,stsb_tr,train
0.6264939,0.10848501324653625,0.061772872546586324,0.0625,1,70,1,130,nli_triplet,train
0.15681049,0.019819367676973343,0.0,0.0,0,29,0,131,nli_triplet,train
0.73671657,0.5878543853759766,0.4333127394876745,0.22727272727272727,5,117,1,132,nli_triplet,train
0.8235988,0.9617273211479187,0.7123771386730805,0.42857142857142855,3,19,1,133,nli_triplet,train
0.54893315,0.8745673894882202,0.1950636946037706,0.0,0,55,1,134,nli_triplet,train
0.367585,0.29517194628715515,0.06339583520153157,0.08,2,116,0,135,ml_paraphrase,train
0.63316274,0.5750080347061157,0.2626444850927464,0.06666666666666667,1,52,0,136,nli_triplet,train
0.8488026,0.9548799395561218,0.3147008397082276,0.17647058823529413,3,40,1,137,ml_paraphrase,train
0.39838654,0.7926040291786194,0.13350576279996987,0.16666666666666666,2,52,1,138,nli_triplet,train
0.41875935,0.9893991947174072,0.011563118097537177,0.0625,1,73,1,139,nli_triplet,train
0.6866144,0.385979562997818,0.06124512686444812,0.045454545454545456,1,76,1,140,nli_triplet,train
0.42245817,0.9280158281326294,0.15960100912320024,0.16666666666666666,2,66,1,141,nli_triplet,train
0.41216636,0.6193532347679138,0.27204238034251177,0.2727272727272727,3,30,0,142,nli_triplet,train
0.83876896,0.9069784879684448,0.5969514872783865,0.29411764705882354,5,67,1,143,ml_paraphrase,train
0.19645047,0.9743080139160156,0.029680087221359636,0.09090909090909091,1,49,0,145,nli_triplet,train
-0.044190645,0.07731271535158157,0.011906023261650368,0.1,1,30,0,146,nli_triplet,train
0.7767082,0.5056276321411133,0.21722465119010842,0.2,2,31,1,148,nli_triplet,train
-0.016369838,0.04291888326406479,0.0,0.0,0,56,0,149,nli_triplet,train
0.9414312,0.9713388681411743,0.0065884353796003565,0.25,4,35,1,151,ml_paraphrase,train
0.68983674,0.8991823792457581,0.37213735371657486,0.15384615384615385,2,45,1,152,nli_triplet,train
0.024324961,0.05307576805353165,0.0,0.0,0,84,0,65,ml_paraphrase,train
0.46283427,0.1927376687526703,0.0,0.0,0,69,0,153,nli_triplet,train
0.8581425,0.8345115184783936,0.5952441287595425,0.4,6,89,1,154,nli_triplet,train
0.8232056,0.6757957339286804,0.13269068497611258,0.2857142857142857,2,22,1,155,nli_triplet,train
0.5701339,0.007689833641052246,0.0,0.0,0,42,0,156,nli_triplet,train
0.8060034,0.42623376846313477,0.050788061228169104,0.0,0,40,1,158,nli_triplet,train
0.82432157,0.9889979958534241,0.7287287363468729,0.42857142857142855,3,17,1,159,nli_triplet,train
0.14394833,0.2820567786693573,0.1442962983825535,0.0,0,54,0,160,nli_triplet,train
0.7100452,0.6991174221038818,0.21122825625597658,0.21052631578947367,4,89,1,161,ml_paraphrase,train
0.8400346,0.9403751492500305,0.43758246675224705,0.25,2,27,1,162,nli_triplet,train
0.7763551,0.5409719347953796,0.20829632983208754,0.08695652173913043,2,101,1,163,ml_paraphrase,train
0.94392264,0.9964978098869324,0.6887943157341967,0.48,12,98,1,164,ml_paraphrase,train
0.6091213,0.7885543704032898,0.113369003684209,0.16666666666666666,3,71,1,165,ml_paraphrase,train
0.2975372,0.34160706400871277,0.05982479944648208,0.05,1,119,0,166,nli_triplet,train
0.021583235,0.015867305919528008,0.0,0.0,0,40,0,168,nli_triplet,train
0.84397304,0.9498210549354553,0.39665112498990374,0.3,3,29,1,169,nli_triplet,train
0.8740818,0.9717682600021362,0.5064084810114932,0.26666666666666666,8,80,1,170,ml_paraphrase,train
0.6135382,0.9434800744056702,0.3821113755489198,0.21052631578947367,4,77,1,172,ml_paraphrase,train
0.9443859,0.9627799987792969,0.4183569819914989,0.2916666666666667,7,124,1,174,ml_paraphrase,train
0.56983286,0.9675952792167664,0.29020827575295716,0.15384615384615385,2,57,1,175,nli_triplet,train
0.49919462,0.3831706941127777,0.0,0.0,0,91,0,177,ml_paraphrase,train
0.33167362,0.3736485540866852,0.06583435036466229,0.07142857142857142,1,65,0,178,nli_triplet,train
0.24643669,0.01734444499015808,0.18733867163877072,0.08333333333333333,1,60,0,179,nli_triplet,train
0.2039336,0.005948640406131744,0.16863528070514017,0.1111111111111111,2,83,0,181,nli_triplet,train
0.9918834,0.9977845549583435,0.523961339720275,0.47619047619047616,10,21,1,183,ml_paraphrase,train
0.15712212,0.18279717862606049,0.04832625686279182,0.058823529411764705,1,68,0,184,nli_triplet,train
0.96242476,0.9998444318771362,0.7118337116030787,0.375,6,43,1,185,ml_paraphrase,train
0.7375539,0.8284590244293213,0.023137127707216692,0.10526315789473684,2,82,1,187,nli_triplet,train
0.03190781,0.10429376363754272,0.026970385774545247,0.07142857142857142,1,47,0,188,nli_triplet,train
0.46978188,0.4842582941055298,0.38737086821983907,0.09090909090909091,1,47,1,189,nli_triplet,train
0.28877684,0.38254934549331665,0.0,0.0,0,70,1,190,ml_paraphrase,train
0.46769696,0.9540426731109619,0.22688328965949345,0.15384615384615385,2,88,1,191,nli_triplet,train
0.7934487,0.05141672492027283,0.18427445867320777,0.0,0,60,1,192,nli_triplet,train
0.61663723,0.8441450595855713,0.09133650609116015,0.0,0,67,1,193,nli_triplet,train
0.40149456,0.008518891409039497,0.1707989178261852,0.07142857142857142,1,69,0,194,nli_triplet,train
0.8160171,0.970088005065918,0.5456763581756747,0.3,6,80,1,196,ml_paraphrase,train
0.9525807,0.9910926222801208,0.5535055801405458,0.3888888888888889,7,66,1,197,ml_paraphrase,train
0.376374,0.35935667157173157,0.2398958958052317,0.22727272727272727,5,91,0,199,nli_triplet,train
0.9149169,0.22584743797779083,0.1285940205808368,0.1,1,33,1,201,nli_triplet,train
0.2710241,0.01660410687327385,0.0,0.0,0,71,0,202,nli_triplet,train
0.8568816,0.9580981135368347,0.5116970577310022,0.4,4,44,1,203,nli_triplet,train
0.22020316,0.013867300003767014,0.0,0.0,0,39,0,205,nli_triplet,train
0.028387731,0.5164923667907715,0.04555050349525421,0.1,2,75,0,206,ml_paraphrase,train
0.9098017,0.6167441010475159,0.3620558435232298,0.2727272727272727,3,27,1,207,nli_triplet,train
0.26306957,0.7763385772705078,0.07570252946758069,0.06451612903225806,2,227,0,208,nli_triplet,train
0.19416189,0.06344296783208847,0.0,0.0,0,40,0,209,nli_triplet,train
0.51193136,0.15224917232990265,0.30306236737765213,0.06666666666666667,1,57,0,211,nli_triplet,train
0.8208679,0.9474637508392334,0.1623887007429971,0.18181818181818182,2,51,1,212,nli_triplet,train
0.19491053,0.03203659504652023,0.1264655355843527,0.07142857142857142,1,54,0,213,nli_triplet,train
0.8739902,0.08162447810173035,0.2700070560505703,0.16666666666666666,3,67,1,215,nli_triplet,train
0.94669956,0.34386390447616577,0.3075187207181427,0.125,2,36,1,218,ml_paraphrase,train
0.3755009,0.4209689497947693,0.028443106206307266,0.08333333333333333,1,32,0,220,nli_triplet,train
0.4521709,0.39798158407211304,0.1528343520504461,0.13333333333333333,2,104,1,221,nli_triplet,train
0.18101344,0.46436187624931335,0.08353066898352617,0.0625,1,76,0,222,nli_triplet,train
0.95048684,0.6644135117530823,0.4960909255395994,0.35294117647058826,6,48,1,223,ml_paraphrase,train
0.49472004,0.9885067939758301,0.0,0.0,0,76,1,224,nli_triplet,train
0.3548375,0.09413495659828186,0.1563514871419542,0.15384615384615385,2,42,0,225,nli_triplet,train
0.54417276,0.8177493810653687,0.0,0.0,0,81,1,227,nli_triplet,train
0.13292047,0.2694244682788849,0.0,0.0,0,90,0,228,ml_paraphrase,train
0.96525705,0.9601815938949585,0.5562043645196081,0.45454545454545453,10,68,1,229,ml_paraphrase,train
0.63690615,0.18583646416664124,0.33016450149463356,0.125,1,40,1,230,nli_triplet,train
0.38028616,0.3050965666770935,0.0,0.0,0,64,1,232,nli_triplet,train
0.9659714,0.998134970664978,0.7157923226744272,0.4666666666666667,7,52,1,234,ml_paraphrase,train
0.5789682,0.9292784929275513,0.0,0.0,0,128,1,235,nli_triplet,train
0.28748074,0.3331395983695984,0.4564159275255942,0.25,2,10,0,236,nli_triplet,train
0.4679085,0.04911559075117111,0.1515413511139013,0.1,1,43,0,237,nli_triplet,train
0.7191911,0.9154506921768188,0.3551548027644245,0.2857142857142857,2,15,1,238,nli_triplet,train
0.4137321,0.19655977189540863,0.0,0.0,0,35,1,239,nli_triplet,train
0.12787378,0.05058389529585838,0.0,0.0,0,60,0,240,nli_triplet,train
0.7131074,0.828802227973938,0.4110949042296839,0.26666666666666666,8,116,1,241,nli_triplet,train
0.19214696,0.013280184008181095,0.0,0.0,0,37,1,242,nli_triplet,train
0.21359694,0.03569638729095459,0.0,0.0,0,79,0,243,ml_paraphrase,train
0.09492973,0.18057498335838318,0.06018185507918963,0.09090909090909091,1,33,0,244,nli_triplet,train
0.015054571,0.042301539331674576,0.0,0.0,0,75,0,245,nli_triplet,train
0.61621153,0.9258480072021484,0.5157852633229089,0.14285714285714285,2,49,1,246,nli_triplet,train
1.0,0.9906415343284607,1.0,1.0,4,0,1,247,nli_triplet,train
0.97266775,0.9832558631896973,0.30362653414365365,0.23529411764705882,4,45,1,248,ml_paraphrase,train
0.405311,0.6845703721046448,0.05076745061598313,0.0,0,74,0,249,ml_paraphrase,train
0.6607209,0.876802384853363,0.38482190419360895,0.16666666666666666,2,80,1,251,nli_triplet,train
0.90450954,0.9735619425773621,0.2540929756068089,0.1111111111111111,1,24,1,253,nli_triplet,train
0.25456467,0.3932764232158661,0.018529734045138267,0.043478260869565216,1,120,0,254,nli_triplet,train
0.9087126,0.8860650062561035,0.1787703298325104,0.13636363636363635,3,53,1,255,ml_paraphrase,train
0.70502234,0.37208041548728943,0.02218301697309618,0.1111111111111111,1,33,1,256,nli_triplet,train
0.5594874,0.7747511267662048,0.0,0.0,0,28,1,257,nli_triplet,train
0.8714839,0.22993479669094086,0.389026257810696,0.6,3,8,1,258,stsb_tr,train
0.38792127,0.3172594904899597,0.05973325273141818,0.047619047619047616,1,73,0,259,ml_paraphrase,train
0.69708765,0.822904109954834,0.07553773814233462,0.0,0,97,1,260,ml_paraphrase,train
0.61841154,0.42369163036346436,0.16429079381134112,0.125,2,74,1,263,nli_triplet,train
0.71791816,0.6211577653884888,0.006811822603241865,0.125,2,63,1,264,nli_triplet,train
0.74378073,0.9795140027999878,0.44509426552134446,0.5,3,11,1,265,nli_triplet,train
0.45525354,0.5048655867576599,0.005412362654860285,0.05,1,71,0,266,ml_paraphrase,train
0.74135077,0.6223762631416321,0.2909175699805034,0.17391304347826086,4,100,1,268,ml_paraphrase,train
0.6101434,0.24934440851211548,0.04294368008208549,0.1,1,34,1,269,nli_triplet,train
0.66577196,0.13231585919857025,0.13215168504274982,0.0625,1,80,0,270,nli_triplet,train
0.9236995,0.4574602246284485,0.40616638444248315,0.2727272727272727,6,56,1,271,ml_paraphrase,train
0.6675414,0.9871438145637512,0.41999540562410625,0.2857142857142857,2,21,1,272,nli_triplet,train
0.63600326,0.1409928947687149,0.0776940239927063,0.08333333333333333,1,54,0,274,nli_triplet,train
0.8278164,0.7152851223945618,0.0,0.0,0,15,1,275,nli_triplet,train
0.21279447,0.10846738517284393,0.09449711234948728,0.14285714285714285,2,45,0,276,nli_triplet,train
0.75262654,0.9275436401367188,0.12978677846559292,0.0,0,36,1,278,nli_triplet,train
0.26329535,0.11028692871332169,0.06956552154147429,0.1,1,34,0,281,nli_triplet,train
0.8172618,0.9842154383659363,0.4665754353216736,0.3125,5,53,1,282,ml_paraphrase,train
0.7963929,0.49060720205307007,0.20549737961288297,0.1,1,26,1,284,nli_triplet,train
0.9797162,0.9823724627494812,0.6468905969821144,0.47368421052631576,9,92,1,285,ml_paraphrase,train
0.7938473,0.7326491475105286,0.015699999894484097,0.05,1,53,1,286,ml_paraphrase,train
0.5022028,0.07558052241802216,0.2951632733536724,0.3,3,37,0,287,nli_triplet,train
0.06946432,0.5395310521125793,0.0,0.0,0,141,0,288,nli_triplet,train
0.7655028,0.5886209011077881,0.13935357707207083,0.21428571428571427,3,74,1,290,nli_triplet,train
0.16062212,0.9768237471580505,0.033036396461142814,0.09090909090909091,1,55,1,291,nli_triplet,train
0.29303142,0.560280978679657,0.3916237498616602,0.375,3,15,0,293,nli_triplet,train
0.82248473,0.951528012752533,0.5286847453876875,0.4444444444444444,8,34,1,294,stsb_tr,train
-0.0052905865,0.2683653235435486,0.0,0.0,0,41,0,295,nli_triplet,train
0.120709606,0.110076904296875,0.021136321949339888,0.09090909090909091,1,26,0,296,nli_triplet,train
0.44939953,0.5128119587898254,0.050567739297989744,0.06666666666666667,1,68,0,298,nli_triplet,train
0.16158289,0.012930115684866905,0.018066147445632053,0.06666666666666667,1,39,0,299,nli_triplet,train
0.10193473,0.17070235311985016,0.03726635954020523,0.05555555555555555,1,81,0,300,nli_triplet,train
0.8360093,0.8309947848320007,0.516462148826769,0.25,3,43,1,301,nli_triplet,train
0.5908888,0.20467108488082886,0.14460318848764703,0.125,1,40,0,302,nli_triplet,train
0.5959555,0.9108400940895081,0.5386563491843601,0.08333333333333333,1,65,1,303,nli_triplet,train
0.9261659,0.99396151304245,0.5848853898181549,0.4,8,59,1,305,ml_paraphrase,train
0.6523131,0.1881902813911438,0.033250249722336825,0.0,0,64,1,306,nli_triplet,train
0.41261968,0.9071647524833679,0.06414252957837094,0.1111111111111111,1,35,1,307,nli_triplet,train
0.26825255,0.25442418456077576,0.008708657886568607,0.08333333333333333,1,64,0,309,nli_triplet,train
0.32948905,0.37597063183784485,0.0,0.0,0,38,0,310,nli_triplet,train
0.76697916,0.6914264559745789,0.29830056572185815,0.2222222222222222,2,32,1,312,nli_triplet,train
0.47256306,0.12923942506313324,0.01590394746311222,0.0,0,143,1,313,nli_triplet,train
0.7315037,0.996703565120697,0.5026243438900941,0.5,3,18,1,315,nli_triplet,train
0.62635237,0.1558065116405487,0.05145118803654273,0.06666666666666667,1,71,0,318,nli_triplet,train
0.38777763,0.12998417019844055,0.11837691562556135,0.15384615384615385,2,47,0,319,nli_triplet,train
0.23968937,0.03306533768773079,0.0,0.0,0,59,0,320,ml_paraphrase,train
0.63693094,0.9535785913467407,0.2712342832471971,0.25,4,49,1,321,nli_triplet,train
0.6970286,0.9406557679176331,0.47392838715397184,0.42857142857142855,3,27,1,325,nli_triplet,train
0.4962291,0.7511956095695496,0.30966261415241086,0.2,1,23,1,326,nli_triplet,train
0.57254636,0.4478074312210083,0.20766460182828236,0.1,1,35,1,327,nli_triplet,train
0.94895434,0.9755924344062805,0.4351328937995556,0.30434782608695654,7,74,1,328,ml_paraphrase,train
0.8751521,0.7011789679527283,0.20509824220558795,0.23529411764705882,4,82,1,329,ml_paraphrase,train
0.18519276,0.005117061082273722,0.07301228202527331,0.06666666666666667,1,90,0,331,nli_triplet,train
0.40450862,0.6431992053985596,0.048039520438031544,0.1111111111111111,1,24,1,333,nli_triplet,train
0.25155985,0.0027295348700135946,0.12581686818038443,0.09090909090909091,1,60,0,334,nli_triplet,train
0.58374137,0.5650360584259033,0.0,0.0,0,80,1,335,nli_triplet,train
0.6499131,0.3342660367488861,0.25416642523090616,0.16666666666666666,1,17,1,336,nli_triplet,train
0.7005327,0.16840478777885437,0.1725854591968804,0.1,2,89,0,337,nli_triplet,train
0.48838145,0.13168133795261383,0.15222105786964701,0.08695652173913043,2,127,0,338,nli_triplet,train
0.9103993,0.5103729367256165,0.3518953684968399,0.25,4,47,1,339,nli_triplet,train
0.74601674,0.2688661515712738,0.21658996493782778,0.05263157894736842,1,103,1,340,nli_triplet,train
0.3107865,0.48147886991500854,0.28700360343485776,0.125,1,27,0,342,nli_triplet,train
0.36759976,0.36805862188339233,0.19733607015876758,0.25,2,22,0,344,nli_triplet,train
0.375036,0.0671229436993599,0.08654683626635024,0.03225806451612903,1,176,0,345,nli_triplet,train
0.21061657,0.18539947271347046,0.013496265710992753,0.07692307692307693,1,57,0,346,nli_triplet,train
0.40149218,0.9783662557601929,0.01355137483500356,0.07142857142857142,1,48,1,347,nli_triplet,train
0.88012064,0.9860584139823914,0.7447914520826119,0.4666666666666667,7,78,1,348,ml_paraphrase,train
0.35816023,0.7525760531425476,0.02790741065579429,0.05,1,62,0,349,ml_paraphrase,train
-0.05547961,0.025242872536182404,0.005467537775885007,0.058823529411764705,1,48,0,350,nli_triplet,train
0.85272646,0.860427737236023,0.3782001660823828,0.23076923076923078,3,32,1,352,nli_triplet,train
0.5025133,0.2648165822029114,0.12767952607859417,0.2,2,37,1,353,nli_triplet,train
0.679252,0.9107778072357178,0.13395500418985923,0.037037037037037035,1,159,1,355,nli_triplet,train
0.19525152,0.024262791499495506,0.0,0.0,0,56,0,356,ml_paraphrase,train
0.1986785,0.032474588602781296,0.01576070873312165,0.05,1,85,0,357,nli_triplet,train
0.8945567,0.9246624708175659,0.4682573766908417,0.25,4,43,1,358,ml_paraphrase,train
0.52735734,0.4320770502090454,0.3195354074661917,0.1111111111111111,2,72,0,359,nli_triplet,train
0.44562405,0.20531947910785675,0.15918073083870024,0.0,0,43,1,360,nli_triplet,train
0.9058132,0.3641681671142578,0.27442682922501827,0.18181818181818182,2,44,1,361,nli_triplet,train
0.87658143,0.9771460294723511,0.7574357513195724,0.6666666666666666,4,15,1,362,nli_triplet,train
0.6595771,0.9284666776657104,0.26600052307869326,0.0625,1,89,1,363,nli_triplet,train
